timestamp,step_index,pv_now_kw,soc_now,load_requested_kw,load_served_kw,crit_requested_kw,crit_served_kw,curtailed_solar_kw,charge_kw,discharge_kw,served_task_ids,deferred_task_ids,risk_level,headline,explanation,reason_codes,kpi_CLSR,kpi_Blackout_minutes,kpi_SAR,kpi_Solar_utilization,kpi_Battery_throughput_kwh
2026-02-03T00:00:00+00:00,0,0.0,0.5885964912280701,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.08125
2026-02-03T00:15:00+00:00,1,0.0,0.5771929824561403,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.1625
2026-02-03T00:30:00+00:00,2,0.0,0.5657894736842104,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.24375000000000002
2026-02-03T00:45:00+00:00,3,0.0,0.5543859649122805,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.325
2026-02-03T01:00:00+00:00,4,0.0,0.5429824561403507,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.40625
2026-02-03T01:15:00+00:00,5,0.0,0.5315789473684208,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.4875
2026-02-03T01:30:00+00:00,6,0.0,0.520175438596491,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.56875
2026-02-03T01:45:00+00:00,7,0.0,0.5087719298245611,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.65
2026-02-03T02:00:00+00:00,8,0.0,0.4973684210526313,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.7312500000000001
2026-02-03T02:15:00+00:00,9,0.0,0.4859649122807015,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.8125000000000001
2026-02-03T02:30:00+00:00,10,0.0,0.4745614035087717,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.8937500000000002
2026-02-03T02:45:00+00:00,11,0.0,0.4631578947368419,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,0.9750000000000002
2026-02-03T03:00:00+00:00,12,0.0,0.4517543859649121,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.0562500000000001
2026-02-03T03:15:00+00:00,13,0.0,0.44035087719298227,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.1375000000000002
2026-02-03T03:30:00+00:00,14,0.0,0.42894736842105247,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.2187500000000002
2026-02-03T03:45:00+00:00,15,0.0,0.41754385964912266,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.3000000000000003
2026-02-03T04:00:00+00:00,16,0.0,0.40614035087719286,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.3812500000000003
2026-02-03T04:15:00+00:00,17,0.0,0.39473684210526305,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.4625000000000004
2026-02-03T04:30:00+00:00,18,0.0,0.38333333333333325,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.5437500000000004
2026-02-03T04:45:00+00:00,19,0.0,0.37192982456140344,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,low,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.6250000000000004
2026-02-03T05:00:00+00:00,20,0.0,0.36052631578947364,0.325,0.325,0.325,0.325,0.0,0.0,0.325,,,high,Normal operation,Energy conditions are acceptable. You can use flexible appliances within recommended windows.,MID_SOC;LOW_PV_FORECAST,1.0,0.0,0.0,1.0,1.7062500000000005
